city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Mattawa_WA,Washington,46.7365,-119.9023,4961,132.0701651,5,4,1.637793,No
Mabton_WA,Washington,46.2115,-119.9937,2544,134.7661555,55,31,1.86254,No
Cactus_TX,Texas,36.0444,-102.008,3290,764.3509156,0,0,1.904469,No
Wheatland_CA,California,39.0073,-121.4283,3759,139.3168195,19,6,1.960801,No
Paden City_WV,West Virginia,39.6035,-80.9351,2532,270.39248,27,4,2.009273,No
Newport_PA,Pennsylvania,40.4792,-77.1336,2636,108.5243942,60,14,2.052738,No
Cambridge Springs_PA,Pennsylvania,41.8018,-80.0597,2566,312.3989172,5,1,2.09269,No
Granger_WA,Washington,46.3459,-120.1928,3493,121.6079166,45,5,2.274489,No
Warden_WA,Washington,46.9682,-119.0512,2706,169.4417471,0,0,2.299884,No
Maybrook_NY,New York,41.4881,-74.2131,3429,22.8298048,22,2,2.303411,No
San Joaquin_CA,California,36.6056,-120.1898,4005,123.6907248,0,0,2.466571,No
Wendell_ID,Idaho,42.7746,-114.7026,2686,499.1212084,8,2,2.562744,No
Cedarville_OH,Ohio,39.7473,-83.8107,4156,494.1716688,83,26,2.626331,No
Oostburg_WI,Wisconsin,43.6238,-87.7891,2816,784.3860079,1,1,2.626787,No
Calipatria_CA,California,33.1488,-115.5058,7526,142.781023,55,35,2.661779,No
Cut Bank_MT,Montana,48.6345,-112.3304,3020,718.8901145,186,1504,2.664541,Yes
La Center_WA,Washington,45.8585,-122.6752,3098,32.9204054,107,45,2.707795,No
Premont_TX,Texas,27.3586,-98.1244,2594,30.36790595,33,5,2.733128,No
Guadalupe_CA,California,34.9608,-120.5735,7321,5.241415583,137,135,2.741581,Yes
Lakeland_GA,Georgia,31.041,-83.0748,2849,132.552615,15,5,2.744143,No
Big Lake_TX,Texas,31.1935,-101.4599,3134,416.8399171,97,71,2.756021,Yes
Sibley_IA,Iowa,43.4013,-95.7438,2520,1324.553397,14,2,2.766531,No
Juneau_WI,Wisconsin,43.4053,-88.7042,2642,834.7120552,0,0,2.775682,No
Bartlett_TX,Texas,30.795,-97.4324,4497,200.9502782,14,1,2.792677,No
Oakland City_IN,Indiana,38.3378,-87.3492,2505,704.9269706,134,184,2.798751,Yes
Hoisington_KS,Kansas,38.518,-98.7777,2588,966.5591111,39,12,2.803193,No
Moorhead_MS,Mississippi,33.4494,-90.5063,2363,323.5289521,49,5,2.807178,No
West Lafayette_OH,Ohio,40.2761,-81.7517,2502,334.7019217,15,1,2.829166,No
Homedale_ID,Idaho,43.6153,-116.9375,2679,362.8241039,46,11,2.857193,No
Covington_IN,Indiana,40.1405,-87.391,2531,763.11176,41,6,2.873694,No
Rose Hill_KS,Kansas,37.5711,-97.1354,3728,845.3989626,40,17,2.874328,No
Filer_ID,Idaho,42.5677,-114.6111,2864,508.4166795,49,26,2.928846,No
Hillsboro_KS,Kansas,38.3523,-97.1994,2715,923.7595937,50,11,2.937202,No
Upland_IN,Indiana,40.4639,-85.5008,3287,611.9664764,55,14,2.94034,No
Monticello_IA,Iowa,42.2304,-91.1836,3212,1011.657892,8,4,2.956765,No
Eunice_NM,New Mexico,32.4425,-103.1916,2922,576.3995355,41,10,2.958585,No
Sabina_OH,Ohio,39.4902,-83.6336,2486,483.6831028,0,0,2.971939,No
Aumsville_OR,Oregon,44.8462,-122.8698,4181,62.18392665,51,14,2.979867,No
Canton_SD,South Dakota,43.3033,-96.5844,2967,1380.077216,33,5,2.980478,No
Gustine_CA,California,37.2545,-120.9948,5817,75.60207165,60,19,3.011696,No
Silt_CO,Colorado,39.5478,-107.6537,3124,959.9110428,32,7,3.023366,No
Lincoln_ND,North Dakota,46.7677,-100.7001,4578,1440.032696,5,1,3.049261,No
Abernathy_TX,Texas,33.837,-101.8155,2744,600.3339836,47,12,3.051035,No
Trenton_IL,Illinois,38.6071,-89.6804,2672,811.7980477,20,8,3.05778,No
New Wilmington_PA,Pennsylvania,41.1174,-80.3323,2375,285.146588,42,35,3.112818,No
Montgomery_MN,Minnesota,44.4444,-93.5801,2543,1153.906027,39,31,3.116501,No
Alfred_NY,New York,42.2543,-77.7897,4203,266.0945015,82,29,3.117022,No
Lochbuie_CO,Colorado,40.0117,-104.727,4984,1081.42651,36,5,3.129777,No
Milton_DE,Delaware,38.775,-75.3104,2856,12.98525463,66,39,3.147615,No
Waverly_NE,Nebraska,40.9109,-96.5341,3620,1164.858158,0,0,3.153267,No
Winters_TX,Texas,31.9564,-99.9293,2488,394.4708424,22,6,3.169265,No
Wolf Point_MT,Montana,48.0934,-105.6413,3790,1150.360043,36,11,3.170689,No
Vandalia_MO,Missouri,39.308,-91.4892,4007,936.1064376,0,0,3.171711,No
Bloomfield_IN,Indiana,39.0262,-86.9373,2434,724.0948517,35,21,3.171917,No
Butler_IN,Indiana,41.4274,-84.8721,2670,560.6855783,0,0,3.181622,No
West Liberty_IA,Iowa,41.5726,-91.2622,3675,1034.558507,3,1,3.204334,No
Covington_OH,Ohio,40.1173,-84.3512,2773,528.6814244,0,0,3.211647,No
Osburn_ID,Idaho,47.5054,-116.0002,2443,370.7020192,80,38,3.219676,No
Ashland_NE,Nebraska,41.0404,-96.3707,2752,1177.506964,27,6,3.232694,No
Conrad_MT,Montana,48.1732,-111.9477,2557,708.5496789,23,3,3.242027,No
Checotah_OK,Oklahoma,35.4821,-95.5224,2487,615.127163,2,1,3.259479,No
West_TX,Texas,31.8032,-97.0942,2852,249.6277825,17,3,3.267657,No
Superior_AZ,Arizona,33.2852,-111.1103,3005,403.6706876,64,24,3.282802,No
Lake Crystal_MN,Minnesota,44.1054,-94.2185,2506,1199.984853,131,52,3.285385,Yes
