city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Mattawa_WA,Washington,46.7365,-119.9023,4961,132.07016508985808,5,4,1637.793,No
Mabton_WA,Washington,46.2115,-119.9937,2544,134.7661554601563,55,31,1862.54,No
Cactus_TX,Texas,36.0444,-102.008,3290,764.3509156340803,0,0,1904.469,No
Wheatland_CA,California,39.0073,-121.4283,3759,139.31681949811187,19,6,1960.801,No
Paden City_WV,West Virginia,39.6035,-80.9351,2532,270.39247996811264,27,4,2009.273,No
Newport_PA,Pennsylvania,40.4792,-77.1336,2636,108.52439418745193,60,14,2052.738,No
Cambridge Springs_PA,Pennsylvania,41.8018,-80.0597,2566,312.3989172498567,5,1,2092.69,No
Granger_WA,Washington,46.3459,-120.1928,3493,121.60791655308756,45,5,2274.489,No
Warden_WA,Washington,46.9682,-119.0512,2706,169.4417471098179,0,0,2299.884,No
Maybrook_NY,New York,41.4881,-74.2131,3429,22.829804796302092,22,2,2303.411,No
San Joaquin_CA,California,36.6056,-120.1898,4005,123.69072479129643,0,0,2466.571,No
Wendell_ID,Idaho,42.7746,-114.7026,2686,499.12120840222144,8,2,2562.744,No
Cedarville_OH,Ohio,39.7473,-83.8107,4156,494.1716688120672,83,26,2626.331,No
Oostburg_WI,Wisconsin,43.6238,-87.7891,2816,784.3860078892217,1,1,2626.787,No
Calipatria_CA,California,33.1488,-115.5058,7526,142.78102296834734,55,35,2661.779,No
Cut Bank_MT,Montana,48.6345,-112.3304,3020,718.8901144540891,186,1504,2664.541,Yes
La Center_WA,Washington,45.8585,-122.6752,3098,32.92040539786582,107,45,2707.795,No
Premont_TX,Texas,27.3586,-98.1244,2594,30.367905945865783,33,5,2733.128,No
Guadalupe_CA,California,34.9608,-120.5735,7321,5.241415583208258,137,135,2741.581,Yes
Lakeland_GA,Georgia,31.041,-83.0748,2849,132.55261502862632,15,5,2744.143,No
Big Lake_TX,Texas,31.1935,-101.4599,3134,416.83991713745684,97,71,2756.021,Yes
Sibley_IA,Iowa,43.4013,-95.7438,2520,1324.553396807059,14,2,2766.531,No
Juneau_WI,Wisconsin,43.4053,-88.7042,2642,834.7120552220791,0,0,2775.682,No
Bartlett_TX,Texas,30.795,-97.4324,4497,200.95027823061469,14,1,2792.677,No
Oakland City_IN,Indiana,38.3378,-87.3492,2505,704.9269706180979,134,184,2798.751,Yes
Hoisington_KS,Kansas,38.518,-98.7777,2588,966.5591110649574,39,12,2803.193,No
Moorhead_MS,Mississippi,33.4494,-90.5063,2363,323.52895212991814,49,5,2807.178,No
West Lafayette_OH,Ohio,40.2761,-81.7517,2502,334.7019217121232,15,1,2829.166,No
Homedale_ID,Idaho,43.6153,-116.9375,2679,362.82410390418084,46,11,2857.193,No
Covington_IN,Indiana,40.1405,-87.391,2531,763.111760016711,41,6,2873.694,No
Rose Hill_KS,Kansas,37.5711,-97.1354,3728,845.398962570341,40,17,2874.328,No
Filer_ID,Idaho,42.5677,-114.6111,2864,508.41667948297896,49,26,2928.846,No
Hillsboro_KS,Kansas,38.3523,-97.1994,2715,923.75959368404,50,11,2937.202,No
Upland_IN,Indiana,40.4639,-85.5008,3287,611.9664763748717,55,14,2940.34,No
Monticello_IA,Iowa,42.2304,-91.1836,3212,1011.6578916780152,8,4,2956.765,No
Eunice_NM,New Mexico,32.4425,-103.1916,2922,576.3995354887687,41,10,2958.585,No
Sabina_OH,Ohio,39.4902,-83.6336,2486,483.6831027863675,0,0,2971.939,No
Aumsville_OR,Oregon,44.8462,-122.8698,4181,62.18392665442076,51,14,2979.867,No
Canton_SD,South Dakota,43.3033,-96.5844,2967,1380.0772156849603,33,5,2980.478,No
Gustine_CA,California,37.2545,-120.9948,5817,75.60207164531856,60,19,3011.696,No
Silt_CO,Colorado,39.5478,-107.6537,3124,959.9110427527692,32,7,3023.366,No
Lincoln_ND,North Dakota,46.7677,-100.7001,4578,1440.0326960070888,5,1,3049.261,No
Abernathy_TX,Texas,33.837,-101.8155,2744,600.3339836494005,47,12,3051.035,No
Trenton_IL,Illinois,38.6071,-89.6804,2672,811.7980477000609,20,8,3057.78,No
New Wilmington_PA,Pennsylvania,41.1174,-80.3323,2375,285.1465879895952,42,35,3112.818,No
Montgomery_MN,Minnesota,44.4444,-93.5801,2543,1153.906027344336,39,31,3116.501,No
