COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc
American Goldfinch,Spinus tristis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_tristis,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Black-throated Blue Warbler,Setophaga caerulescens,Passeriformes,Parulidae (New World Warblers),Dendroica_caerulescens,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Black-throated Green Warbler,Setophaga virens,Passeriformes,Parulidae (New World Warblers),Dendroica_virens,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Blue-winged Warbler,Vermivora cyanoptera,Passeriformes,Parulidae (New World Warblers),Vermivora_pinus,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Carolina Chickadee,Poecile carolinensis,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Parus_carolinensis,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri
Caspian Tern,Hydroprogne caspia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_caspia,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Downy Woodpecker,Dryobates pubescens,Piciformes,Picidae (Woodpeckers),Picoides_pubescens,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
Great Egret,Ardea alba,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Casmerodius_albus,BL3,Ardeidae,Ardeidae,Herons and egrets,25,PELECANIFORMES,NONPASSERIFORMES
Hairy Woodpecker,Dryobates villosus,Piciformes,Picidae (Woodpeckers),Picoides_villosus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES
House Finch,Haemorhous mexicanus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carpodacus_mexicanus,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Laughing Gull,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_atricilla,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES
Magnolia Warbler,Setophaga magnolia,Passeriformes,Parulidae (New World Warblers),Dendroica_magnolia,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Northern Parula,Setophaga americana,Passeriformes,Parulidae (New World Warblers),Parula_americana,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Orange-crowned Warbler,Oreothlypis celata,Passeriformes,Parulidae (New World Warblers),Vermivora_celata,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Palm Warbler,Setophaga palmarum,Passeriformes,Parulidae (New World Warblers),Dendroica_palmarum,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Pine Siskin,Spinus pinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_pinus,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
Pine Warbler,Setophaga pinus,Passeriformes,Parulidae (New World Warblers),Dendroica_pinus,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri
Purple Finch,Haemorhous purpureus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carpodacus_purpureus,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri
