FID,UACE10,AFFGEOID10,GEOID10,NAME10,LSAD10,UATYP10,ALAND10,AWATER10
0,44789,400C100US44789,44789,"Key Largo, FL",76,C,35649968.000000000000000,8579241.000000000000000
1,24823,400C100US24823,24823,"Dubuque, IA--IL",75,U,87473707.000000000000000,822803.000000000000000
2,01765,400C100US01765,01765,"Alton, IL--MO",75,U,142060316.000000000000000,1923798.000000000000000
3,13537,400C100US13537,13537,"Cape Girardeau, MO--IL",75,U,90689508.000000000000000,174299.000000000000000
4,17668,400C100US17668,17668,"Cleveland, OH",75,U,2003976246.000000000000000,12080634.000000000000000
5,49852,400C100US49852,49852,"Lima, OH",75,U,135587482.000000000000000,4239465.000000000000000
6,85762,400C100US85762,85762,"Sunbury, PA",76,C,44055945.000000000000000,1047427.000000000000000
7,29440,400C100US29440,29440,"Fayetteville, NC",75,U,513044956.000000000000000,5441338.000000000000000
8,29953,400C100US29953,29953,"Florence, AL",75,U,161021610.000000000000000,1950157.000000000000000
9,39025,400C100US39025,39025,"Hilmar-Irwin, CA",76,C,5125810.000000000000000,0.000000000000000
10,52552,400C100US52552,52552,"McFarland, CA",76,C,9922670.000000000000000,0.000000000000000
11,39416,400C100US39416,39416,"Holiday Shores, IL",76,C,3511766.000000000000000,1206917.000000000000000
12,65782,400C100US65782,65782,"Oregon, IL",76,C,5223512.000000000000000,62789.000000000000000
13,87139,400C100US87139,87139,"Terre Haute, IN",75,U,138506916.000000000000000,869436.000000000000000
14,46477,400C100US46477,46477,"Lake Arthur, LA",76,C,4286896.000000000000000,41546.000000000000000
15,01279,400C100US01279,01279,"Alexandria, LA",75,U,169609539.000000000000000,905527.000000000000000
16,24391,400C100US24391,24391,"Donaldsonville, LA",76,C,41339269.000000000000000,2519759.000000000000000
17,00577,400C100US00577,00577,"Adrian, MI",76,C,62207099.000000000000000,614875.000000000000000
18,76663,400C100US76663,76663,"Ruleville, MS",76,C,3477990.000000000000000,21825.000000000000000
19,49987,400C100US49987,49987,"Lincolnton, NC",76,C,76443008.000000000000000,338853.000000000000000
20,32896,400C100US32896,32896,"Genoa, OH",76,C,7026985.000000000000000,0.000000000000000
21,91837,400C100US91837,91837,"Warren, PA",76,C,21634168.000000000000000,1330895.000000000000000
22,46153,400C100US46153,46153,"La Follette, TN",76,C,58894282.000000000000000,347782.000000000000000
23,51877,400C100US51877,51877,"Lubbock, TX",75,U,249849870.000000000000000,2063063.000000000000000
24,75556,400C100US75556,75556,"Robstown, TX",76,C,8985625.000000000000000,0.000000000000000
25,52201,400C100US52201,52201,"Lynchburg, VA",75,U,229875716.000000000000000,1403994.000000000000000
26,96832,400C100US96832,96832,"Wisconsin Rapids, WI",76,C,55594278.000000000000000,1280308.000000000000000
27,74341,400C100US74341,74341,"Rhinelander, WI",76,C,22683859.000000000000000,3488387.000000000000000
28,11080,400C100US11080,11080,"Brush, CO",76,C,6256571.000000000000000,0.000000000000000
29,90082,400C100US90082,90082,"Valley--Lanett, AL--GA",76,C,60921424.000000000000000,340036.000000000000000
30,51445,400C100US51445,51445,"Los Angeles--Long Beach--Anaheim, CA",75,U,4496385860.000000000000000,60891665.000000000000000
31,83305,400C100US83305,83305,"South Lake Tahoe, CA--NV",76,C,43208061.000000000000000,570993.000000000000000
32,13510,400C100US13510,13510,"Cape Coral, FL",75,U,854876877.000000000000000,107531845.000000000000000
33,58006,400C100US58006,58006,"Modesto, CA",75,U,238605116.000000000000000,941700.000000000000000
34,65863,400C100US65863,65863,"Orlando, FL",75,U,1547812187.000000000000000,141919580.000000000000000
35,87868,400C100US87868,87868,"Toledo, OH--MI",75,U,622289904.000000000000000,16561286.000000000000000
36,35920,400C100US35920,35920,"Gulfport, MS",75,U,426176383.000000000000000,31632685.000000000000000
37,10027,400C100US10027,10027,"Brevard, NC",76,C,31377103.000000000000000,84.000000000000000
38,35380,400C100US35380,35380,"Greenville, NC",75,U,168587075.000000000000000,1539862.000000000000000
39,40267,400C100US40267,40267,"Hot Springs Village, AR",76,C,36789319.000000000000000,4135552.000000000000000
40,46465,400C100US46465,46465,"Lake Arrowhead--Crestline, CA",76,C,43787748.000000000000000,3533335.000000000000000
41,33328,400C100US33328,33328,"Gilroy--Morgan Hill, CA",75,U,117649526.000000000000000,3754.000000000000000
42,56872,400C100US56872,56872,"Middletown, IN",76,C,3609076.000000000000000,5164.000000000000000
43,64297,400C100US64297,64297,"Oakdale, LA",76,C,13220912.000000000000000,64071.000000000000000
44,56305,400C100US56305,56305,"Meridian, MS",76,C,83662557.000000000000000,863509.000000000000000
45,15049,400C100US15049,15049,"Centralia, MO",76,C,4744492.000000000000000,0.000000000000000
46,49150,400C100US49150,49150,"Le Roy, NY",76,C,4936274.000000000000000,5196.000000000000000
47,00739,400C100US00739,00739,"Akron, NY",76,C,6779977.000000000000000,0.000000000000000
48,30331,400C100US30331,30331,"Forest City, NC",76,C,90868614.000000000000000,213173.000000000000000
49,50770,400C100US50770,50770,"Lock Haven, PA",76,C,27288358.000000000000000,563240.000000000000000
50,02413,400C100US02413,02413,"Anderson, SC",75,U,191929840.000000000000000,3276231.000000000000000
51,19828,400C100US19828,19828,"Cookeville, TN",76,C,115248011.000000000000000,246302.000000000000000
52,35974,400C100US35974,35974,"Gun Barrel City, TX",76,C,37622425.000000000000000,320356.000000000000000
53,31600,400C100US31600,31600,"Fredericksburg, VA",75,U,201887934.000000000000000,1702873.000000000000000
54,59275,400C100US59275,59275,"Morgantown, WV",75,U,97085720.000000000000000,3293756.000000000000000
55,65566,400C100US65566,65566,"Oostburg, WI",76,C,2626787.000000000000000,1019.000000000000000
56,44128,400C100US44128,44128,"Kayenta, AZ",76,C,6663405.000000000000000,56226.000000000000000
57,23122,400C100US23122,23122,"Dell Rapids, SD",76,C,3765646.000000000000000,0.000000000000000
58,62407,400C100US62407,62407,"New Haven, CT",75,U,792598022.000000000000000,15833342.000000000000000
59,67105,400C100US67105,67105,"Palm Bay--Melbourne, FL",75,U,600043464.000000000000000,131339839.000000000000000
60,07138,400C100US07138,07138,"Benton Harbor--St. Joseph--Fair Plain, MI",75,U,120897103.000000000000000,2569786.000000000000000
61,89785,400C100US89785,89785,"Utica, NY",75,U,161615810.000000000000000,1578515.000000000000000
62,10351,400C100US10351,10351,"Bristol--Bristol, TN--VA",75,U,165458817.000000000000000,232262.000000000000000
63,02683,400C100US02683,02683,"Antioch, CA",75,U,209064468.000000000000000,3260493.000000000000000
64,55927,400C100US55927,55927,"Mecca, CA",76,C,10107968.000000000000000,0.000000000000000
65,47010,400C100US47010,47010,"Lake Placid, FL",76,C,48790636.000000000000000,6680580.000000000000000
66,77203,400C100US77203,77203,"St. Anthony, ID",76,C,4783633.000000000000000,41854.000000000000000
67,20962,400C100US20962,20962,"Cresco, IA",76,C,4274586.000000000000000,0.000000000000000
68,90838,400C100US90838,90838,"Vinton, LA",76,C,4801560.000000000000000,33483.000000000000000
69,85303,400C100US85303,85303,"Sturgis, MI",76,C,24731602.000000000000000,182.000000000000000
70,42967,400C100US42967,42967,"Jefferson City, MO",75,U,103644120.000000000000000,718043.000000000000000
