COMMON_NAME,SCIENTIFIC_NAME,order,family
American Coot,Fulica americana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
American Crow,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
American Goldfinch,Spinus tristis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
American Kestrel,Falco sparverius,Falconiformes,Falconidae (Falcons and Caracaras)
American Pipit,Anthus rubescens,Passeriformes,Motacillidae (Wagtails and Pipits)
American Redstart,Setophaga ruticilla,Passeriformes,Parulidae (New World Warblers)
American Robin,Turdus migratorius,Passeriformes,Turdidae (Thrushes and Allies)
American White Pelican,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae (Pelicans)
Anhinga,Anhinga anhinga,Suliformes,Anhingidae (Anhingas)
Bald Eagle,Haliaeetus leucocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows)
Barred Owl,Strix varia,Strigiformes,Strigidae (Owls)
Belted Kingfisher,Megaceryle alcyon,Coraciiformes,Alcedinidae (Kingfishers)
Black-and-white Warbler,Mniotilta varia,Passeriformes,Parulidae (New World Warblers)
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black-chinned Hummingbird,Archilochus alexandri,Caprimulgiformes,Trochilidae (Hummingbirds)
Black-crowned Night-Heron,Nycticorax nycticorax,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Black-throated Blue Warbler,Setophaga caerulescens,Passeriformes,Parulidae (New World Warblers)
Black-throated Green Warbler,Setophaga virens,Passeriformes,Parulidae (New World Warblers)
Black Vulture,Coragyps atratus,Cathartiformes,Cathartidae (New World Vultures)
Blue-gray Gnatcatcher,Polioptila caerulea,Passeriformes,Polioptilidae (Gnatcatchers)
Blue-headed Vireo,Vireo solitarius,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Blue-winged Warbler,Vermivora cyanoptera,Passeriformes,Parulidae (New World Warblers)
Blue Grosbeak,Passerina caerulea,Passeriformes,Cardinalidae (Cardinals and Allies)
Blue Jay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Boat-tailed Grackle,Quiscalus major,Passeriformes,Icteridae (Troupials and Allies)
Brown-headed Cowbird,Molothrus ater,Passeriformes,Icteridae (Troupials and Allies)
Brown Creeper,Certhia americana,Passeriformes,Certhiidae (Treecreepers)
Brown Pelican,Pelecanus occidentalis,Pelecaniformes,Pelecanidae (Pelicans)
Brown Thrasher,Toxostoma rufum,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Carolina Chickadee,Poecile carolinensis,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
Carolina Wren,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens)
Caspian Tern,Hydroprogne caspia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Cattle Egret,Bubulcus ibis,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Bombycillidae (Waxwings)
Chimney Swift,Chaetura pelagica,Caprimulgiformes,Apodidae (Swifts)
Chipping Sparrow,Spizella passerina,Passeriformes,Passerellidae (New World Sparrows)
Common Gallinule,Gallinula galeata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Common Grackle,Quiscalus quiscula,Passeriformes,Icteridae (Troupials and Allies)
Common Yellowthroat,Geothlypis trichas,Passeriformes,Parulidae (New World Warblers)
Cooper's Hawk,Accipiter cooperii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Dark-eyed Junco,Junco hyemalis,Passeriformes,Passerellidae (New World Sparrows)
Double-crested Cormorant,Phalacrocorax auritus,Suliformes,Phalacrocoracidae (Cormorants and Shags)
Downy Woodpecker,Dryobates pubescens,Piciformes,Picidae (Woodpeckers)
Eastern Bluebird,Sialia sialis,Passeriformes,Turdidae (Thrushes and Allies)
Eastern Kingbird,Tyrannus tyrannus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Eastern Meadowlark,Sturnella magna,Passeriformes,Icteridae (Troupials and Allies)
Eastern Phoebe,Sayornis phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Eastern Screech-Owl,Megascops asio,Strigiformes,Strigidae (Owls)
Eastern Towhee,Pipilo erythrophthalmus,Passeriformes,Passerellidae (New World Sparrows)
Eastern Wood-Pewee,Contopus virens,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Eurasian Collared-Dove,Streptopelia decaocto,Columbiformes,Columbidae (Pigeons and Doves)
European Starling,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings)
Fish Crow,Corvus ossifragus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Forster's Tern,Sterna forsteri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Golden-crowned Kinglet,Regulus satrapa,Passeriformes,Regulidae (Kinglets)
Gray Catbird,Dumetella carolinensis,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Great-tailed Grackle,Quiscalus mexicanus,Passeriformes,Icteridae (Troupials and Allies)
Great Blue Heron,Ardea herodias,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Great Crested Flycatcher,Myiarchus crinitus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Great Egret,Ardea alba,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Great Horned Owl,Bubo virginianus,Strigiformes,Strigidae (Owls)
Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Green Heron,Butorides virescens,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Hairy Woodpecker,Dryobates villosus,Piciformes,Picidae (Woodpeckers)
Hermit Thrush,Catharus guttatus,Passeriformes,Turdidae (Thrushes and Allies)
Herring Gull,Larus argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
House Finch,Haemorhous mexicanus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
House Sparrow,Passer domesticus,Passeriformes,Passeridae (Old World Sparrows)
House Wren,Troglodytes aedon,Passeriformes,Troglodytidae (Wrens)
Inca Dove,Columbina inca,Columbiformes,Columbidae (Pigeons and Doves)
Indigo Bunting,Passerina cyanea,Passeriformes,Cardinalidae (Cardinals and Allies)
Killdeer,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings)
Laughing Gull,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Least Sandpiper,Calidris minutilla,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Little Blue Heron,Egretta caerulea,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Loggerhead Shrike,Lanius ludovicianus,Passeriformes,Laniidae (Shrikes)
Magnolia Warbler,Setophaga magnolia,Passeriformes,Parulidae (New World Warblers)
Mallard,Anas platyrhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Marsh Wren,Cistothorus palustris,Passeriformes,Troglodytidae (Wrens)
Mississippi Kite,Ictinia mississippiensis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Mottled Duck,Anas fulvigula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
